modelo,condicao,predicao,label_final,id,comentario,erro
e5_multilingual,sem_instrucao,1,0,4224,que lindo cortou cabelo,True
e5_multilingual,sem_instrucao,1,0,4855,Eternas SAUDDADS,True
e5_multilingual,sem_instrucao,0,1,1482,Esse 💩tem que provar é a sua inocência (não tem como provar) e não atacar o Moro.,True
e5_multilingual,sem_instrucao,0,1,235,Ah tá com pena? Devolve o dinheiro do 🇧🇷,True
e5_multilingual,sem_instrucao,1,0,5470,Também acho. Esse cara fala demais. Os filhos do bolsonaro acabam enfraquecendo o governo. Sempre disse issso desde o começo,True
e5_multilingual,sem_instrucao,0,1,452,Que dia é o impeachment desse senhor mesmo? Já deu 💩💩💩💩💩💩💩💩💩💩💩💩💩💩,True
e5_multilingual,sem_instrucao,0,1,906,"Ai5 é meus ovos , entrevista de qualidade de gente sem cérebro🍊🍊🍊🍊🍊🍊🍊🍊",True
e5_multilingual,sem_instrucao,0,1,2456,"Não aguento mais . Pelo amor de Deus , nesse País os poros dessas pessoas que respira Lula Credo! Chou coisa ruim . Oremos para vê se pensam em coisa sadia 🙏🙏",True
e5_multilingual,sem_instrucao,1,0,5071,"Estamos em um grande barco a remo metade 50% rema para frente 25% não rema 25 % rema para trás ,e culpa do Presidente, não, somos nós brasileiros devemos remar ele apenas põe ordem na embarcação ,por favor Brasil temos muitos brasileiros que não fazem nada pra melhorar estamos no mesmo barco ,perde um perde todos ou tô errado?",True
e5_multilingual,sem_instrucao,1,0,5056,"Deixa ver se entendi...se 1/4 está pessimista, 1/4 está neutro como pode a maioria estar otimista? Ora se somarmos pessimistas mais neutros há um empate. Não?kkkkk tá foda em Dudu.",True
e5_multilingual,sem_instrucao,1,0,6340,E A SOLIDARIEDADE COM A NORA DO LULA????,True
e5_multilingual,sem_instrucao,1,0,4979,A excelente globo mostrou diferente....🙄,True
e5_multilingual,sem_instrucao,0,1,2425,Pra todos nós que Samos milhões de negros nessi país incruindo eu esse miZeravel tem que ser punido pela lei isso e inaceitável🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,True
e5_multilingual,sem_instrucao,0,1,2470,VAI VOLTAR PRA JAULA,True
e5_multilingual,sem_instrucao,1,0,3858,"Patriotismo a parte..."".los Hermanos"" sempre tiveram mais cultura.. desta vez foi só mais uma demonstração",True
e5_multilingual,sem_instrucao,1,0,4641,"Que absurdo contra essa mulher,ministra ou nao.",True
e5_multilingual,sem_instrucao,0,1,245,Ninguém está preocupado com a pena dela. É melhor ela cuidadar do pais dela .,True
e5_multilingual,sem_instrucao,1,0,3765,Haddad era pra ser nosso presidente.nossa Amazonia nao.estaria .morrendo mas um louco faze.o.que🙏😍😍❤❤,True
e5_multilingual,sem_instrucao,1,0,6283,"Ao fim dos privilégios tbm e que todos os políticos passem a pagar seus planos de saúde, INSS e impostos de renda... Que peguem seus próprios alugueis e suas próprias roupas. Afinal políticos tem algum gasto? Pra que tem salários?",True
e5_multilingual,sem_instrucao,0,1,1525,Já estou levantado capeta,True
e5_multilingual,sem_instrucao,1,0,3803,@lauraisv tá ofendendo seu país aqui amiga,True
e5_multilingual,sem_instrucao,0,1,2293,"Fica quieta joice, tá feio ja",True
e5_multilingual,sem_instrucao,1,0,5754,Benedita não se altere porque esse ato cometido foi por gente que tem alma escura !,True
e5_multilingual,sem_instrucao,1,0,4492,Dupla imbatível nas argumentações inteligentes contra esse governo desgovernado que estamos pagando....aff,True
e5_multilingual,sem_instrucao,1,0,5602,Correta afirmação! Estao areimando argumentos e justificativas para os contrarios usarem de artificio para derruba los,True
e5_multilingual,sem_instrucao,1,0,4645,"Se fosse o Pabllo Vittar , os lacradores: ""Linda"" , ""Essa mulher nos representa"" , ""Ninguém solta a mão de ninguém"" , ""Viva o Feminismo"". 😂😂😂😂😂😂",True
e5_multilingual,sem_instrucao,0,1,2367,Pior é que tem negros que votam nessa gente! O Brasil precisa acordar!!!,True
e5_multilingual,sem_instrucao,0,1,1925,"A Joyce só pode estar ""surtando""!!! 😱😱😱",True
e5_multilingual,sem_instrucao,1,0,6069,"Lamentável, deste jeito, 2022 não vai dar pra vc",True
e5_multilingual,sem_instrucao,0,1,649,"Para que tanta inveja Muié, o povo tem que manifestar mesmo para provar que Bolsonaro é mais amado que o *L* o persona non grata, aceita que dói menos tá?",True
e5_multilingual,sem_instrucao,0,1,113,"Pois é, nojenta!!",True
e5_multilingual,sem_instrucao,0,1,632,Até quando o STF vai trabalhar contra o país?,True
e5_multilingual,sem_instrucao,1,0,3919,Lei da mordaça,True
e5_multilingual,sem_instrucao,1,0,4935,"Por um lado eu acho desnecessário ficar um atacando o outro, MAS por outro lado acho necessário, pois SÓ assim ficamos sabendo o que a passa nos """" bastidores """".",True
e5_multilingual,sem_instrucao,1,0,4619,"Que absurdo fizeram com ela,o Brasil precisa de você,e está fazendo um ótimo trabalho,indo atrás de pedófilos que estupram até bebês.",True
e5_multilingual,sem_instrucao,0,1,1477,Não vou acionar o áudio porque não aguento a voz e o conteúdo dito pelo carniça.,True
e5_multilingual,sem_instrucao,0,1,2601,Vc e a Greta: duas oportunistas,True
e5_multilingual,sem_instrucao,0,1,420,Fora bozzolino! Christina vamos a volver✌✌✌,True
e5_multilingual,sem_instrucao,0,1,1637,"Quando a gente acha que uma pessoa não consegue ser mais zé ruéla do que já é, vem o cara e se supera.",True
e5_multilingual,sem_instrucao,1,0,3818,"Dá-lhe Cristina, dá-lhe Manu... Lula livre já👏❤️",True
e5_multilingual,sem_instrucao,0,1,3236,@ed.biel vdd pq são uns vendidos,True
e5_multilingual,sem_instrucao,1,0,4025,Cuidado para não comprarmos pautas colonizadas com patrocínios por trás!,True
e5_multilingual,sem_instrucao,1,0,5934,Afinal o sítio não é dele kkkkkkkkkkkkk,True
e5_multilingual,sem_instrucao,0,1,1963,"Ainda bem que não foi no SBT, com certeza , lá, o resultado seria alterado pelo dono.",True
e5_multilingual,sem_instrucao,0,1,2829,"Coitada dessa menina, tem que crescer muito ainda. Foi fabricada e agora a exploram",True
e5_multilingual,sem_instrucao,1,0,5666,"Verdade , é tudo que os inimigos querem",True
e5_multilingual,sem_instrucao,1,0,3756,Vai mostra as provas que é inocente 👏👏👏😆😆😆😆😆😆😆,True
